CPF,NAME,BIRTHDATE,CEP,GENDER
70382888227,JOAO ALCULCENA,12 12 2002,69030620,M
12345678909,JOAO SILVA,15 05 1990,69050000,M
39053344705,MARIA OLIVEIRA,22 08 1985,69075000,F
16899535009,CARLOS PEREIRA,03 01 2000,69020000,M
11144477735,PAULO SOUZA,30 06 1988,69010000,O
98765432100,LUCAS ALMEIDA,15 03 1992,69085000,M
25706931461,MARTA SILVA,09 09 1980,69032000,F
46021975820,RAFAEL SOARES,05 07 1999,69045000,M
81247356973,CLARA MARTINS,21 04 1995,69012000,F
61472850920,BRUNO NASCIMENTO,11 11 1991,69067000,M
85296374100,LUIZ EDUARDO,09 11 1992,69033000,M
86446422784,ANA PAULA,14 07 1995,69010100,F
71822278945,FERNANDA LIMA,05 05 1990,69032000,F
97222369201,CARLOS EDUARDO,12 09 1988,69045000,M
76891618800,MARIANA SOUZA,23 03 1995,69012000,F
10327351390,PATRICIA OLIVEIRA,30 01 1986,69010100,F
02692475569,GABRIEL ALMEIDA,14 07 1992,69067000,M
52998224725,RODRIGO MOURA,10 10 1987,69023000,M
