nome_usuario,cpf,descricao_produto,avaliacao_descricao,marca_produto,avaliacao_marca,id
Lucas Carvalho,98765432100,papel higienico neve,5,neve,3,2787dd01f45d49b0
Vinicius Lopes Fernandes,64448139212,oleo soja concord,5,concord,1,d62cd37fcb75ae41
Vinicius Cardoso Costa,97616924000,melancia,5,generico,3,4fa3230bc9e14928
Ana Marques Vieira,81076193820,leite condensado mococa,5,mococa,5,6cc6e39b987fc50a
Vitoria Costa Andrade,13247830448,refrigerante laranjinha,3,laranjinha,4,45c4d145142850d3
Beatriz Moreira Lima,70903418525,suco laranja dafruta,5,dafruta,2,3dbc58dc82f8efe9
Beatriz Marques Barbosa,55565857503,iogurte nestle morango,5,nestle,1,7e9c0100871ad92b
Andre Barbosa Lima,77106803308,frango perdigao congelado,5,perdigao,3,d6c46501a2daf86d
Vinicius Cardoso Costa,97616924000,batata palha scrush,5,scrush,4,896e9930b557a4ee
Matheus Ferreira Santana,1291102647,suco uva kapo,4,kapo,3,27738d64070f7151
Vinicius Lopes Fernandes,64448139212,manteiga aviacao,4,aviacao,5,5397960aeba2e6b3
Lucas Carvalho,98765432100,papel higienico neve,3,neve,4,2787dd01f45d49b0
Andre Barbosa Lima,77106803308,refrigerante coca cola,4,coca cola,4,b859dc801d8350ec
Caio Moreira Costa,11387575864,pao integral rap10,4,rap10,5,152e5ac17c247386
Patricia Oliveira Barbosa,86406968026,achocolatado po nescau,4,nescau,2,4b18a3d1193a0b75
Isabela Santos Lima,25925780132,pao de forma,4,generico,5,7c0d84a202081aeb
Isabela Costa Souza,71475109172,pao integral rap10,5,rap10,3,152e5ac17c247386
Igor Souza Moreira,95830436809,pao integral rap10,1,rap10,3,152e5ac17c247386
Caio Moreira Costa,11387575864,feijao carioca,4,generico,3,34fa3239bb692bcf
Beatriz Moreira Lima,70903418525,oleo soya,3,soya,4,a487f6e16421e74e
Otavio Souza Rocha,12548055590,salsicha hot dog seara,4,seara,5,80aed25561e211eb
Igor Souza Moreira,95830436809,suco morango kapo,2,kapo,4,2a03f46abe452c69
Vitoria Costa Andrade,13247830448,achocolatado po nescau,5,nescau,5,4b18a3d1193a0b75
Andre Barbosa Lima,77106803308,guarana classic 2lt,3,guarana antartica,3,6e227f0d7bb97433
Andre Barbosa Lima,77106803308,pao integral rap10,5,rap10,4,152e5ac17c247386
Igor Souza Moreira,95830436809,pao frances,1,generico,4,d50b681b711f8c2e
Isabela Nunes Cardoso,45161646632,refrigerante grapette,5,grapette,5,b18ec33b49021f37
Isabela Nunes Cardoso,45161646632,batata palha scrush,2,scrush,3,896e9930b557a4ee
Olivia Oliveira Freitas,94232829032,chocolate po dubom,5,dubom,3,5f37a52700f1804a
Isabela Costa Souza,71475109172,farinha lactea nestle,3,nestle,4,46ab29ed9bb90277
Vinicius Lopes Fernandes,64448139212,macarrao renata espaguete,5,renata,3,ee1490e9b7a35448
Isabela Santos Lima,25925780132,guarana classic 2lt,4,guarana antartica,5,6e227f0d7bb97433
Ana Marques Vieira,81076193820,acucar refinado uniao,5,união,2,4ad51bf5be0f6ebf
Igor Souza Moreira,95830436809,pao frances,4,generico,5,d50b681b711f8c2e
Matheus Ferreira Santana,1291102647,suco laranja dafruta,5,dafruta,5,3dbc58dc82f8efe9
Isabela Costa Souza,71475109172,leite condensado mococa,3,mococa,2,6cc6e39b987fc50a
Lucas Carvalho,98765432100,oleo soja soya,5,soya,5,115b0cd735758b62
Ana Marques Vieira,81076193820,frango perdigao,5,perdigao,5,820d2ae8c8ad4579
Lucas Carvalho,98765432100,guarana classic 2lt,4,guarana antartica,5,6e227f0d7bb97433
Patricia Oliveira Barbosa,86406968026,chocolate po dubom,5,dubom,1,5f37a52700f1804a
Otavio Souza Rocha,12548055590,mini waffer brig trigolino,1,trigolino,5,d0c1db793f17062e
Larissa Carvalho Ferreira,45756376372,manteiga aviacao,5,aviacao,5,5397960aeba2e6b3
Andre Barbosa Lima,77106803308,macarrao renata espaguete,4,renata,2,ee1490e9b7a35448
Joao Nascimento Lima,6167112398,acucar uniao,4,união,4,fc1b0d5db586ebe9
Zoe Carvalho Ferreira,60747317305,pao de forma,5,generico,5,7c0d84a202081aeb
Isabela Nunes Cardoso,45161646632,creme dental colgate,4,colgate,4,6675903bd8378edd
Vinicius Lopes Fernandes,64448139212,nescau po,3,nescau,3,a18b3d828ffb3386
Ana Marques Vieira,81076193820,feij carioca,4,generico,4,8f865ec7d9f1b4d7
Olivia Oliveira Freitas,94232829032,refrigerante bare,2,bare,4,da41e5c5c5ddf98c
Lucas Carvalho,98765432100,cafe pilao,5,pilao,3,595a16276251ffad
Joao Nascimento Lima,6167112398,chocolate po dubom,4,dubom,4,5f37a52700f1804a
Ana Marques Vieira,81076193820,cafe pilao,5,pilao,5,595a16276251ffad
Andre Barbosa Lima,77106803308,macarrao renata espaguete,4,renata,1,ee1490e9b7a35448
Caio Moreira Costa,11387575864,farinha lactea nestle,5,nestle,4,46ab29ed9bb90277
Ana Marques Vieira,81076193820,acucar uniao,3,união,5,fc1b0d5db586ebe9
Larissa Carvalho Ferreira,45756376372,frango perdigao congelado,4,perdigao,5,d6c46501a2daf86d
Zoe Carvalho Ferreira,60747317305,cheiro verde misto,4,generico,5,a6af865ce62f0ffd
Vitoria Costa Andrade,13247830448,creme dental colgate,3,colgate,4,6675903bd8378edd
Isabela Nunes Cardoso,45161646632,cafe pilao,4,pilao,5,595a16276251ffad
Larissa Carvalho Ferreira,45756376372,bala eucalipto freegells,5,freegells,4,5fa1193e6c084a06
Patricia Oliveira Barbosa,86406968026,chocolate po dubom,3,dubom,4,5f37a52700f1804a
Otavio Souza Rocha,12548055590,suco laranja dafruta,4,dafruta,4,3dbc58dc82f8efe9
Olivia Oliveira Freitas,94232829032,papel higienico perfurmado flor lotus,3,flor de lotus,4,0bfd9ef01bb0c0be
Andre Barbosa Lima,77106803308,goma tapioca jo alimentos,3,generico,5,b0f59646ddc9458c
Beatriz Moreira Lima,70903418525,bala eucalipto freegells,2,freegells,4,5fa1193e6c084a06
Olivia Oliveira Freitas,94232829032,sabonete palm,5,palmolive,5,a0b9e00f24ed41d1
Beatriz Marques Barbosa,55565857503,suco uva kapo,2,kapo,1,27738d64070f7151
Vinicius Lopes Fernandes,64448139212,cheiro verde misto,1,generico,3,a6af865ce62f0ffd
Matheus Ferreira Santana,1291102647,oleo soja soya,2,soya,4,115b0cd735758b62
Ana Marques Vieira,81076193820,leite condensado mococa,2,mococa,5,6cc6e39b987fc50a
Andre Barbosa Lima,77106803308,chocolate po dubom,4,dubom,4,5f37a52700f1804a
Zoe Carvalho Ferreira,60747317305,leite condensado mococa,5,mococa,4,6cc6e39b987fc50a
Zoe Carvalho Ferreira,60747317305,papel higienico perfurmado flor lotus,1,flor de lotus,1,0bfd9ef01bb0c0be
Henrique Santos Almeida,10114581010,leite condensado mococa,4,mococa,4,6cc6e39b987fc50a
Matheus Ferreira Santana,1291102647,farinha lactea nestle,5,nestle,3,46ab29ed9bb90277
Zoe Carvalho Ferreira,60747317305,pao de forma,3,generico,5,7c0d84a202081aeb
Larissa Carvalho Ferreira,45756376372,manteiga aviacao,2,aviacao,1,5397960aeba2e6b3
Beatriz Marques Barbosa,55565857503,suco morango kapo,5,kapo,2,2a03f46abe452c69
Larissa Carvalho Ferreira,45756376372,batata palha scrush,3,scrush,5,896e9930b557a4ee
Zoe Carvalho Ferreira,60747317305,nescau po,5,nescau,4,a18b3d828ffb3386
Beatriz Marques Barbosa,55565857503,queijo mussarela fatiado,4,generico,4,405c85bc4c79e9d8
Olivia Oliveira Freitas,94232829032,queijo mussarela fatiado,5,generico,4,405c85bc4c79e9d8
Isabela Nunes Cardoso,45161646632,suco maracuja kapo,3,kapo,5,c9e0b63010291868
Matheus Ferreira Santana,1291102647,salsicha hot dog seara,5,seara,3,80aed25561e211eb
Lucas Carvalho,98765432100,leite condensado semidesnatado tirol,5,tirol,5,d1f22bd632c5ff26
Isabela Costa Souza,71475109172,acucar uniao,1,união,3,fc1b0d5db586ebe9
Zoe Carvalho Ferreira,60747317305,suco laranja kapo,3,kapo,1,b0f19386516f2f69
Beatriz Moreira Lima,70903418525,calabresa perdigao,1,perdigao,2,3b786ddf17a84fdb
Matheus Ferreira Santana,1291102647,refrigerante coca cola,1,coca cola,4,b859dc801d8350ec
Vinicius Lopes Fernandes,64448139212,queijo mussarela fatiado,5,generico,2,405c85bc4c79e9d8
Beatriz Marques Barbosa,55565857503,oleo soja concord,4,concord,4,d62cd37fcb75ae41
Isabela Santos Lima,25925780132,feijao carioca,3,generico,5,34fa3239bb692bcf
Isabela Nunes Cardoso,45161646632,goma tapioca jo alimentos,4,generico,5,b0f59646ddc9458c
Lucas Carvalho,98765432100,suco laranja dafruta,5,dafruta,2,3dbc58dc82f8efe9
Zoe Carvalho Ferreira,60747317305,milho pipoca campi,5,campi,4,ce8e300dffdeb602
Ana Marques Vieira,81076193820,sabonete dove,1,dove,1,02b277c4789da68c
Caio Moreira Costa,11387575864,oleo soya,5,soya,3,a487f6e16421e74e
Isabela Santos Lima,25925780132,manteiga aviacao,5,aviacao,4,5397960aeba2e6b3
Olivia Oliveira Freitas,94232829032,feij carioca,4,generico,4,8f865ec7d9f1b4d7
Igor Souza Moreira,95830436809,pao integral rap10,2,rap10,5,152e5ac17c247386
Olivia Oliveira Freitas,94232829032,calabresa perdigao,5,perdigao,2,3b786ddf17a84fdb
Joao Nascimento Lima,6167112398,suco laranja kapo,2,kapo,3,b0f19386516f2f69
Igor Souza Moreira,95830436809,papel higienico neve,4,neve,5,2787dd01f45d49b0
Isabela Santos Lima,25925780132,melancia,3,generico,4,4fa3230bc9e14928
Vinicius Cardoso Costa,97616924000,milho pipoca campi,1,campi,5,ce8e300dffdeb602
Isabela Nunes Cardoso,45161646632,chocolate po dubom,1,dubom,5,5f37a52700f1804a
Otavio Souza Rocha,12548055590,refrigerante grapette,5,grapette,2,b18ec33b49021f37
Isabela Santos Lima,25925780132,suco laranja kapo,3,kapo,3,b0f19386516f2f69
Beatriz Moreira Lima,70903418525,suco maracuja kapo,5,kapo,3,c9e0b63010291868
