nome_usuario,cpf,descricao_produto,avaliacao_descricao,marca_produto,avaliacao_marca
Patricia Oliveira Barbosa,86406968026,refrigerante laranjinha,4,laranjinha,3
Vitoria Costa Andrade,13247830448,mini waffer trigolino brig,3,trigolino,3
Otavio Souza Rocha,12548055590,manteiga aviacao,3,aviacao,3
Patricia Oliveira Barbosa,86406968026,calabresa perdigao,3,perdigao,4
Beatriz Marques Barbosa,55565857503,refrigerante grapette,4,grapette,5
Patricia Oliveira Barbosa,86406968026,chocolate po dubom,3,dubom,4
Vinicius Lopes Fernandes,64448139212,feijao carioca,2,generico,1
Joao Nascimento Lima,6167112398,batata palha scrush,4,scrush,3
Isabela Nunes Cardoso,45161646632,papel higienico flor lotus perfurmado 4un,3,flor de lotus,2
Ana Marques Vieira,81076193820,suco kapo uva,4,kapo,2
Larissa Carvalho Ferreira,45756376372,queijo muss fatiado,5,generico,5
Vinicius Cardoso Costa,97616924000,batata palha scrush,3,scrush,5
Olivia Oliveira Freitas,94232829032,queijo muss fatiado,5,generico,3
Vitoria Costa Andrade,13247830448,leite cond mococa,5,mococa,4
Larissa Carvalho Ferreira,45756376372,iogurte nestle morango,4,nestle,4
Isabela Costa Souza,71475109172,arroz tio joao,3,generico,5
Ana Marques Vieira,81076193820,sabonete dove,3,dove,5
Joao Nascimento Lima,6167112398,goma tapioca jo alimentos,5,generico,5
Isabela Santos Lima,25925780132,pao de forma,5,generico,4
Zoe Carvalho Ferreira,60747317305,queijo muss fatiado,5,generico,4
Vitoria Costa Andrade,13247830448,mini waffer trigolino brig,1,trigolino,5
Vinicius Lopes Fernandes,64448139212,leite cond mococa,3,mococa,4
Isabela Nunes Cardoso,45161646632,goma tapioca jo alimentos,5,generico,5
Beatriz Marques Barbosa,55565857503,cheiro verde misto,2,generico,3
Andre Barbosa Lima,77106803308,suco laranja dafruta,5,dafruta,3
Patricia Oliveira Barbosa,86406968026,creme dental colgate,5,colgate,1
Igor Souza Moreira,95830436809,goma tapioca jo alimentos,2,generico,1
Vinicius Cardoso Costa,97616924000,calabresa perdigao,1,perdigao,4
Zoe Carvalho Ferreira,60747317305,goma tapioca jo alimentos,2,generico,5
